step	learning_rate
0	4.754098360655738e-05
1	4.508196721311476e-05
2	4.262295081967213e-05
3	4.016393442622951e-05
4	3.7704918032786885e-05
5	3.524590163934427e-05
6	3.2786885245901635e-05
7	3.0327868852459017e-05
8	2.7868852459016392e-05
9	2.540983606557377e-05
10	2.295081967213115e-05
11	2.0491803278688525e-05
12	1.8032786885245903e-05
13	1.557377049180328e-05
14	1.3114754098360657e-05
15	1.0655737704918032e-05
16	8.196721311475409e-06
17	5.737704918032787e-06
18	3.278688524590164e-06
19	8.19672131147541e-07
