step	epoch
0	0.09
0	0.09
0	0.09
1	0.19
1	0.19
1	0.19
2	0.28
2	0.28
2	0.28
3	0.37
3	0.37
3	0.37
4	0.47
4	0.47
4	0.47
5	0.56
5	0.56
5	0.56
6	0.66
6	0.66
6	0.66
7	0.75
7	0.75
7	0.75
8	0.84
8	0.84
8	0.84
